,School,Program,District,Longitude,Latitude,Cutoff,Quality,Size
895,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,East Mamprusi (Gambaga),-0.414157361,10.47127342,237,256.5076923,65
896,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,New Juaben (Koforidua),-0.297512323,6.112612724,286,308.42,50
897,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Keta,0.853055775,5.907464027,261,298.6333333,60
898,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Wenchi,-1.944841981,7.677614689,292,311.7111111,45
899,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Science,Asuogyaman (Senchi Ferry),0.08832825,6.189229488,283,311.5833333,120
900,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,Bibiani/Anhwiaso/Bekwai (Bibiani),-2.223546028,6.259892464,235,261.42,100
901,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Business,West Gonja (Damongo),-1.700405836,9.505651474,226,248.05,100
902,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Home Economics,Afigya Sekyere (Agona),-1.548614264,7.00199604,281,304.0666667,60
903,"DORMAA SENIOR HIGH SCHOOL, DORMAA",General Arts,Adansi West (Obuasi),-1.65927422,5.986411572,293,314.84,50
904,"DORMAA SENIOR HIGH SCHOOL, DORMAA",Visual Arts,Assin North (Assin Fosu),-1.374616981,5.77799511,288,307.875,40
